25RC01258,Shoplifting Take Merchandise From Store W/O Intent To Pay,06/01/25 1026Hrs,06/01/25 1000Hrs - 06/01/25 1010Hrs,PARK CONVENCE(CPN),Closed,OTHER
25RC01259,Aggravated Assault With Weapon,06/01/25 1355Hrs,06/01/25 1310Hrs - 06/01/25 1414Hrs,A CUT ABOVE(CPN),Cleared by Arrest,OTHER
25RC01260,Poss Of Weapon With Unlawful Purpose,06/01/25 1355Hrs,06/01/25 1310Hrs - 06/01/25 1414Hrs,A CUT ABOVE(CPN),Cleared by Arrest,OTHER
25RC01261,Theft Of Property All Other - Non-Building,06/01/25 2010Hrs,05/29/25 1730Hrs - 06/01/25 1930Hrs,ALLISON ROAD CLASSROOM ARC BUILDING(CPN),Closed,ACADEMIC
25RC01265,Theft By Extortion-Accuse,06/02/25 1139Hrs,04/10/25 1200Hrs,QUADS - SOUTH BOUND(CPN),Closed,RESIDENTIAL
25RC01264,Shoplifting Take Merchandise From Store W/O Intent To Pay,06/02/25 1200Hrs,06/02/25 1056Hrs,PARK CONVENCE(CPN),Cleared by Arrest,OTHER
25RC01266,Assault of Law Enforcement Officers,06/03/25 1019Hrs,06/03/25 1019Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01267,Obstructing Admin Of Law/Governmental Function,06/03/25 1019Hrs,06/03/25 1019Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01268,Resisting Arrest-Risk Of Injury To Public Servant,06/03/25 1019Hrs,06/03/25 1414Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01269,Simple Assault Bodily Injury,06/03/25 1019Hrs,06/03/25 1414Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01270,Criminal Mischief W/Damage,06/03/25 1019Hrs,06/03/25 1414Hrs - 06/03/25 1414Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01273,Criminal Mischief W/Damage,06/03/25 1338Hrs,06/03/25 1258Hrs,45 KNIGHTSBRIDGE RD(CPN),Closed,STREET/ROADWAY
25RC01281,Suspicious Incident/Cds Related,06/04/25 1154Hrs,06/04/25 1154Hrs,GATEWAY TRANSIT VILLAGE / VUE APARTMENTS(CPN),Closed,RESIDENTIAL
25RC01284,Harassment,06/04/25 1410Hrs,06/04/25 1410Hrs,T-MOBILE; USA 000390 GEORGE NE NEW BRUNSWICK CITY XX +040.499897 - 074.445870(CPN),Closed,OTHER
25RC01286,Hinder Apprehension - Oneself - False Info,06/05/25 0320Hrs,06/05/25 0236Hrs,217-234 SOMERSET ST / 45-105 HARVEY ST(CPN),Cleared by Arrest,STREET/ROADWAY
25RC01287,Theft Of Property All Other - Non-Building,06/05/25 1241Hrs,05/30/25 1150Hrs,A CUT ABOVE(CPN),Unfounded,OTHER
25RC01288,Credit Card Theft,06/05/25 1508Hrs,04/29/25 0000Hrs,Rutgers Federal Credit Union(CPN),Open/Pending,CAMPUS SERVICES
25RC01289,Driving While Intoxicated,06/06/25 0036Hrs,06/05/25 2354Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RESIDENTIAL
25RC01290,Arrest On Warrant (Other Department),06/06/25 0036Hrs,06/05/25 2354Hrs,LOREE GYMNASIUM(CPN),Cleared by Arrest,RECREATION
25RC01295,Harassment,06/08/25 1333Hrs,06/05/25 1700Hrs,SALMON ST - Philadelphia,Closed,STREET/ROADWAY
25RC01296,Violence,06/08/25 1333Hrs,06/05/25 1700Hrs,SALMON ST - Philadelphia,Closed,STREET/ROADWAY
25RC01301,Criminal Mischief W/Damage,06/09/25 1407Hrs,06/06/25 0700Hrs,LOT 22(CPN),Closed,PARKING LOT
25RC01302,Arrest On Warrant (Other Department),06/09/25 1608Hrs,06/09/25 1533Hrs,37-63 NICHOL AVE / 1-39 SUYDAM ST(CPN),Cleared by Arrest,STREET/ROADWAY
25RC01303,Burglary By Entering Motor Vehicle,06/09/25 1806Hrs,06/08/25 1500Hrs,LOT 65A(CPN),Open/Pending,PARKING LOT
25RC01304,Obstructing Admin Of Law/Oovernmental Function,06/10/25 1516Hrs,06/10/25 1407Hrs,PINK DECK(CPN),Cleared by Arrest,PARKING LOT
25RC01305,Resisting Arrest - Disorderly,06/10/25 1516Hrs,06/10/25 1407Hrs,PINK DECK(CPN),Cleared by Arrest,PARKING LOT
25RC01306,Defiant Trespasser,06/10/25 1516Hrs,06/10/25 1407Hrs,PINK DECK(CPN),Cleared by Arrest,PARKING LOT
25RC01307,Possession Of Cds,06/10/25 1516Hrs,06/10/25 1407Hrs,PINK DECK(CPN),Cleared by Arrest,PARKING LOT
25RC01308,Poss Of Drug Paraphernalia,06/10/25 1516Hrs,06/10/25 1407Hrs,PINK DECK(CPN),Cleared by Arrest,PARKING LOT
25RC01309,Arrest On Warrant (Other Department),06/12/25 0208Hrs,06/12/25 0028Hrs,SCHOOL OF NURSING(CPN),Cleared by Arrest,ACADEMIC
25RC01310,Warrant Arrest (This Department),06/12/25 0353Hrs,06/12/25 0323Hrs,AT&T MOBILITY 0001110 FEELINGHUYSEN ROAD S PISCATAWAY TWP XX +040.498277 - 074(CPN),Cleared by Arrest,OTHER
25RC01315,Property Damage,06/12/25 1742Hrs,06/12/25 1741Hrs,RWJMS LOT D(CPN),Closed,PARKING LOT
25RC01316,Unintentional Fire - Electrical,06/12/25 1742Hrs,06/12/25 1741Hrs,RWJMS LOT D(CPN),Closed,PARKING LOT
25RC01317,Harassment,06/12/25 2326Hrs,04/14/25 2100Hrs,Phelps AVE Int Labor Center - New Brunswick,Closed,OTHER
25RC01319,Violence,06/12/25 2326Hrs,04/14/25 2100Hrs,Phelps AVE Int Labor Center - New Brunswick,Closed,OTHER
25RC01325,Burglary By Entering Structure,06/17/25 0841Hrs,06/16/25 2039Hrs,SHI STADIUM(CPN),Open/Pending,RECREATION
25RC01326,Criminal Mischief W/Damage,06/17/25 0841Hrs,06/16/25 2130Hrs,SHI STADIUM(CPN),Open/Pending,RECREATION
25-00032,Theft From Building,06/19/25 1939Hrs,06/19/25 1930Hrs,Rockafeller RD - Piscataway,Closed,STREET/ROADWAY
25RC01342,Criminal Mischief W/Damage,06/20/25 0921Hrs,06/20/25 0921Hrs,LOREE GYMNASIUM(CPN),Open/Pending,RECREATION
25RC01346,Theft From Building,06/21/25 2057Hrs,06/20/25 2100Hrs,LIVINGSTON HOUSING BUILDING (CCPN),Closed,RESIDENTIAL
25RC01348,Harassment,06/22/25 1016Hrs,06/22/25 1001Hrs,A CUT ABOVE(CPN),Closed,OTHER
25RC01350,Criminal Trespass,06/23/25 0617Hrs,06/23/25 0523Hrs,HICKMAN HALL(CPN),Cleared by Arrest,ACADEMIC
25RC01351,Arrest On Warrant (Other Department),06/23/25 0617Hrs,06/23/25 0523Hrs - 06/23/25 0901Hrs,HICKMAN HALL(CPN),Cleared by Arrest,ACADEMIC
25RC01354,Criminal Mischief W/Damage,06/24/25 0017Hrs,06/23/25 2359Hrs - 06/24/25 0015Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),Open/Pending,CAMPUS SERVICES
25RC01356,Theft From Building,06/24/25 1207Hrs,06/19/25 1600Hrs - 06/24/25 1000Hrs,ONE SPRING ST(CPN),Open/Pending,STREET/ROADWAY
25RC01364,Warrant Arrest (This Department),06/25/25 0613Hrs,06/25/25 0612Hrs,PUBLIC SAFETY BUILDING RUPD; P30(CPN),Cleared by Arrest,CAMPUS SERVICES
25RC01371,Violence,06/25/25 1947Hrs,02/01/25 0000Hrs - 06/24/25 2118Hrs,BEST WEST RESIDENCE HALL(CPN),Closed,RESIDENTIAL
25RC01372,Harassment,06/25/25 1947Hrs,02/01/25 0000Hrs - 06/24/25 2118Hrs,BEST WEST RESIDENCE HALL(CPN),Closed,RESIDENTIAL
25RC01380,Harassment,06/30/25 1137Hrs,06/30/25 1115Hrs,LOT 64(CPN),Closed,PARKING LOT